Feature,Importance
ST_Slope,0.28245444386458274
ChestPainType,0.1344203704151277
MaxHR,0.104197557358763
Cholesterol,0.10234866137153371
Oldpeak,0.09948137995075201
ExerciseAngina,0.08587160106773746
Age,0.06585921913378535
RestingBP,0.053072865514628774
Sex,0.03204366288850152
FastingBS,0.02014585860351484
RestingECG,0.020104379831072876
