Feature,Importance
ST_Slope,0.250603858500799
ChestPainType,0.12094573203896218
Cholesterol,0.11034947554655547
MaxHR,0.10999195299598766
Oldpeak,0.10909701915735508
Age,0.07751563501027212
ExerciseAngina,0.07732252366704827
RestingBP,0.06741535471934407
Sex,0.030273860864205086
RestingECG,0.024696839927753338
FastingBS,0.021787747571717787
