Feature,Importance
thalach,0.14899286622182642
cp,0.11963033777069963
oldpeak,0.11713757653476499
ca,0.11132725776851973
thal,0.10193719127542238
age,0.09583427894951486
chol,0.0849044029993805
trestbps,0.07446596913078447
exang,0.05138682148035424
slope,0.04051756225104516
sex,0.02571571333452378
restecg,0.01949248814977097
fbs,0.008657534133392902
